Year,HPV1,HPV2,HPV3,HPV4,HPV5,HPV6,HPV7,HPV8,HPV9,HPV10,HPV11,HPV12,HPV13,HPV14,HPV15,HPV16,HPV17,HPV18,HPV19,HPV20,HPV21,HPV22,HPV23,HPV24,HPV25,HPV26,HPV27,HPV28,HPV29,HPV30,HPV31,HPV32,HPV33,HPV34,HPV35,HPV36,HPV37,HPV38,HPV39,HPV40,HPV41,HPV42,HPV43,HPV44,HPV45,HPV46,HPV47,HPV48,HPV49,HPV50,HPV51,HPV52,HPV53,HPV54,HPV55,HPV56,HPV57,HPV58,HPV59,HPV60,HPV61,HPV62,HPV63,HPV64,HPV65,HPV66,HPV67,HPV68,HPV69,HPV70,HPV71,HPV72,HPV73,HPV74,HPV75,HPV76,HPV77,HPV78,HPV79,HPV80,HPV81,HPV82,HPV83,HPV84,HPV85,HPV86,HPV87,HPV88,HPV89,HPV90,HPV91,HPV92,HPV93,HPV94,HPV95,HPV96,HPV97,HPV98,HPV99,HPV100,HPV101,HPV102,HPV103,HPV104,HPV105,HPV106,HPV107,HPV108,HPV109,HPV110,HPV111,HPV112,HPV113,HPV114,HPV115,HPV116,HPV117,HPV118,HPV119,HPV120,HPV121,HPV122,HPV123,HPV124,HPV125,HPV126,HPV127,HPV128,HPV129,HPV130,HPV131,HPV132,HPV133,HPV134,HPV135,HPV136,HPV137,HPV138,HPV139,HPV140,HPV141,HPV142,HPV143,HPV144,HPV145,HPV146,HPV147,HPV148,HPV149,HPV150,HPV151,HPV152,HPV153,HPV154,HPV155,HPV156,HPV157,HPV158,HPV159,HPV160,HPV161,HPV162,HPV163,HPV164,HPV165,HPV166,HPV167,HPV168,HPV169,HPV170,HPV171,HPV172,HPV173,HPV174,HPV175,HPV176,HPV177,HPV178,HPV179,HPV180,HPV181,HPV182,HPV183,HPV184,HPV185,HPV186,HPV187,HPV188,HPV189,HPV190,HPV191,HPV192,HPV193,HPV194,HPV195,HPV196,HPV197,HPV198,HPV199,HPV200
1977,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,4.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,2.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,2.0,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,4.0,2.0,2.0,1.0,4.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,6.0,6.0,4.0,4.0,5.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,3.0,1.0,2.0,1.0,3.0,7.0,,2.0,,,3.0,,,2.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,2.0,1.0,,1.0,2.0,8.0,,,,,5.0,,,,,14.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,4.0,4.0,1.0,2.0,4.0,8.0,1.0,3.0,,,6.0,,,,,15.0,1.0,7.0,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
